INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,date_col1,date_col2,date_col3,date_col4,date_col5
I182070928,3301,Verbal Disputes,VERBAL DISPUTE,C6,913,,2018-09-03 19:55:00,2018,9,Monday,19,Part Three,OCEAN VIEW DR,42.31957856,-71.04032766,"(42.31957856, -71.04032766)",2011-01-11,2011-01-11,2011-01-11,2011-01-11,2011-01-11
I182070927,3114,Investigate Property,INVESTIGATE PROPERTY,C6,936,,2018-09-03 20:19:00,2018,9,Monday,20,Part Three,DALESSIO CT,42.34011469,-71.05339029,"(42.34011469, -71.05339029)",2011-01-12,2011-01-12,2011-01-12,2011-01-12,2011-01-12
I182070923,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",D4,139,,2018-09-03 19:58:00,2018,9,Monday,19,Part Three,MARLBOROUGH ST,42.3503876,-71.08785290000002,"(42.35038760, -71.08785290)",2011-01-13,2011-01-13,2011-01-13,2011-01-13,2011-01-13
I182070922,2647,Other,THREATS TO DO BODILY HARM,B3,429,,2018-09-03 20:39:00,2018,9,Monday,20,Part Two,WOODROW AVE,42.28647012,-71.08714661,"(42.28647012, -71.08714661)",2011-01-14,2011-01-14,2011-01-14,2011-01-14,2011-01-14
I182070921,3201,Property Lost,PROPERTY - LOST,B3,469,,2018-09-02 14:00:00,2018,9,Sunday,14,Part Three,MULVEY ST,42.27924052,-71.09667382,"(42.27924052, -71.09667382)",2011-01-15,2011-01-15,2011-01-15,2011-01-15,2011-01-15
I182070920,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,, ,,2018-09-03 19:43:00,2018,9,Monday,19,Part Three,,42.35287456,-71.0738297,"(42.35287456, -71.07382970)",2011-01-16,2011-01-16,2011-01-16,2011-01-16,2011-01-16
I182070919,3301,Verbal Disputes,VERBAL DISPUTE,C11,341,,2018-09-03 18:52:00,2018,9,Monday,18,Part Three,STONEHURST ST,42.30526428,-71.06683755,"(42.30526428, -71.06683755)",2011-01-17,2011-01-17,2011-01-17,2011-01-17,2011-01-17
I182070918,3305,Assembly or Gathering Violations,DEMONSTRATIONS/RIOT,D4,130,,2018-09-03 17:00:00,2018,9,Monday,17,Part Three,HUNTINGTON AVE,42.34857652,-71.07772012,"(42.34857652, -71.07772012)",2011-01-18,2011-01-18,2011-01-18,2011-01-18,2011-01-18
I182070917,2647,Other,THREATS TO DO BODILY HARM,B2,901,,2018-09-03 19:52:00,2018,9,Monday,19,Part Two,HORADAN WAY,42.33371742,-71.09665806,"(42.33371742, -71.09665806)",2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19
I182070915,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,181,,2018-09-02 18:00:00,2018,9,Sunday,18,Part One,SHIRLEY ST,42.325694899999995,-71.06816778,"(42.32569490, -71.06816778)",2011-01-20,2011-01-20,2011-01-20,2011-01-20,2011-01-20
I182070913,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,, ,,2018-09-03 18:46:00,2018,9,Monday,18,Part Three,WOLCOTT,-1.0,-1.0,"(-1.00000000, -1.00000000)",2011-01-21,2011-01-21,2011-01-21,2011-01-21,2011-01-21
I182070911,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A1,69,,2018-09-03 18:30:00,2018,9,Monday,18,Part Three,BEACON ST,42.35564426,-71.07168077,"(42.35564426, -71.07168077)",2011-01-22,2011-01-22,2011-01-22,2011-01-22,2011-01-22
I182070910,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,434,,2018-09-03 18:42:00,2018,9,Monday,18,Part Three,CAPEN ST,42.28340243,-71.08079740000001,"(42.28340243, -71.08079740)",2011-01-23,2011-01-23,2011-01-23,2011-01-23,2011-01-23
I182070909,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E5,550,,2018-09-03 18:33:00,2018,9,Monday,18,Part Three,WASHINGTON ST,42.27581799,-71.13991259,"(42.27581799, -71.13991259)",2011-01-24,2011-01-24,2011-01-24,2011-01-24,2011-01-24
I182070908,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,911,,2018-09-03 18:38:00,2018,9,Monday,18,Part One,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)",2011-01-25,2011-01-25,2011-01-25,2011-01-25,2011-01-25
I182070906,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,, ,,2018-09-03 18:20:00,2018,9,Monday,18,Part Three,,42.28359328,-71.05565683,"(42.28359328, -71.05565683)",2011-01-26,2011-01-26,2011-01-26,2011-01-26,2011-01-26
I182070905,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,172,,2018-09-03 18:50:00,2018,9,Monday,18,Part Three,MASSACHUSETTS AVE,42.33311189,-71.0727637,"(42.33311189, -71.07276370)",2011-01-27,2011-01-27,2011-01-27,2011-01-27,2011-01-27
I182070904,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,242,,2018-09-03 18:34:00,2018,9,Monday,18,Part Two,ANNAPOLIS ST,42.31731905,-71.06150882,"(42.31731905, -71.06150882)",2011-01-28,2011-01-28,2011-01-28,2011-01-28,2011-01-28
I182070904,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,C11,242,,2018-09-03 18:34:00,2018,9,Monday,18,Part Two,ANNAPOLIS ST,42.31731905,-71.06150882,"(42.31731905, -71.06150882)",2011-01-29,2011-01-29,2011-01-29,2011-01-29,2011-01-29
I182070903,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B3,463,,2018-09-03 18:55:00,2018,9,Monday,18,Part Two,BLUE HILL AVE,42.29590385,-71.08773294,"(42.29590385, -71.08773294)",2011-01-30,2011-01-30,2011-01-30,2011-01-30,2011-01-30
I182070901,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,428,,2018-09-03 18:41:00,2018,9,Monday,18,Part Two,CLARKWOOD ST,42.28013735,-71.09079826,"(42.28013735, -71.09079826)",2011-01-31,2011-01-31,2011-01-31,2011-01-31,2011-01-31
I182070900,2629,Harassment,HARASSMENT,B3,464,,2018-09-03 18:17:00,2018,9,Monday,18,Part Two,HANSBOROUGH ST,42.28810362,-71.09153335,"(42.28810362, -71.09153335)",2011-02-01,2011-02-01,2011-02-01,2011-02-01,2011-02-01
I182070898,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,351,,2018-09-03 19:11:00,2018,9,Monday,19,Part Two,SALISBURY PARK,42.29928376,-71.059172,"(42.29928376, -71.05917200)",2011-02-02,2011-02-02,2011-02-02,2011-02-02,2011-02-02
I182070897,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,330,,2018-09-03 18:37:00,2018,9,Monday,18,Part Two,COLUMBIA RD,42.30524752,-71.08089418,"(42.30524752, -71.08089418)",2011-02-03,2011-02-03,2011-02-03,2011-02-03,2011-02-03
I182070895,3207,Property Found,PROPERTY - FOUND,A7,30,,2018-09-03 16:43:00,2018,9,Monday,16,Part Three,COTTAGE ST,42.36742605,-71.03547266,"(42.36742605, -71.03547266)",2011-02-04,2011-02-04,2011-02-04,2011-02-04,2011-02-04
I182070893,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,427,,2018-09-03 18:44:00,2018,9,Monday,18,Part One,WILMORE ST,42.27796370000001,-71.09246318,"(42.27796370, -71.09246318)",2011-02-05,2011-02-05,2011-02-05,2011-02-05,2011-02-05
I182070892,613,Larceny,LARCENY SHOPLIFTING,B2,276,,2018-09-03 17:54:00,2018,9,Monday,17,Part One,SHAWMUT AVE,42.33318299,-71.08307607,"(42.33318299, -71.08307607)",2011-02-06,2011-02-06,2011-02-06,2011-02-06,2011-02-06
I182070891,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,E13,303,,2018-09-02 20:04:00,2018,9,Sunday,20,Part Three,BRAGDON ST,42.31888243,-71.09929423,"(42.31888243, -71.09929423)",2011-02-07,2011-02-07,2011-02-07,2011-02-07,2011-02-07
I182070890,2612,Fire Related Reports,FIRE REPORT/ALARM - FALSE,B3,432,,2018-09-03 18:17:00,2018,9,Monday,18,Part Two,CALLENDER ST,42.28848287,-71.08259001,"(42.28848287, -71.08259001)",2011-02-08,2011-02-08,2011-02-08,2011-02-08,2011-02-08
I182070889,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,, ,,2018-09-03 18:05:00,2018,9,Monday,18,Part Two,,42.30676881,-71.08431925,"(42.30676881, -71.08431925)",2011-02-09,2011-02-09,2011-02-09,2011-02-09,2011-02-09
I182070889,3125,Warrant Arrests,WARRANT ARREST,, ,,2018-09-03 18:05:00,2018,9,Monday,18,Part Three,,42.30676881,-71.08431925,"(42.30676881, -71.08431925)",2011-02-10,2011-02-10,2011-02-10,2011-02-10,2011-02-10
I182070889,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,, ,,2018-09-03 18:05:00,2018,9,Monday,18,Part Two,,42.30676881,-71.08431925,"(42.30676881, -71.08431925)",2011-02-11,2011-02-11,2011-02-11,2011-02-11,2011-02-11
I182070888,301,Robbery,ROBBERY - STREET,A1,76,,2018-09-03 15:45:00,2018,9,Monday,15,Part One,,,,"(0.00000000, 0.00000000)",2011-02-12,2011-02-12,2011-02-12,2011-02-12,2011-02-12
I182070887,1402,Vandalism,VANDALISM,D4,149,,2018-09-01 12:00:00,2018,9,Saturday,12,Part Two,W NEWTON ST,42.34385799,-71.07953502,"(42.34385799, -71.07953502)",2011-02-13,2011-02-13,2011-02-13,2011-02-13,2011-02-13
I182070886,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY Â DAMAGE,C11,402,,2018-09-03 15:34:00,2018,9,Monday,15,Part Three,WASHINGTON ST,42.28492596,-71.07135254,"(42.28492596, -71.07135254)",2011-02-14,2011-02-14,2011-02-14,2011-02-14,2011-02-14
I182070885,619,Larceny,LARCENY ALL OTHERS,B3,456,,2018-09-03 17:17:00,2018,9,Monday,17,Part One,ELLINGTON ST,42.30154555,-71.08118184,"(42.30154555, -71.08118184)",2011-02-15,2011-02-15,2011-02-15,2011-02-15,2011-02-15
I182070882,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B2,901,,2018-09-03 15:00:00,2018,9,Monday,15,Part Three,WARD ST,42.33511145,-71.09592156,"(42.33511145, -71.09592156)",2011-02-16,2011-02-16,2011-02-16,2011-02-16,2011-02-16
I182070881,1402,Vandalism,VANDALISM,C11,356,,2018-09-03 15:00:00,2018,9,Monday,15,Part Two,GENEVA AVE,42.29848866,-71.06313294,"(42.29848866, -71.06313294)",2011-02-17,2011-02-17,2011-02-17,2011-02-17,2011-02-17
I182070880,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,A1,116,,2018-09-03 17:09:00,2018,9,Monday,17,Part Three,BEACH ST,42.351084,-71.059395,"(42.35108400, -71.05939500)",2011-02-18,2011-02-18,2011-02-18,2011-02-18,2011-02-18
I182070879,3301,Verbal Disputes,VERBAL DISPUTE,B3,441,,2018-09-03 16:04:00,2018,9,Monday,16,Part Three,NIGHTINGALE ST,42.29540175,-71.08237834,"(42.29540175, -71.08237834)",2011-02-19,2011-02-19,2011-02-19,2011-02-19,2011-02-19
I182070877,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,562,,2018-09-03 15:00:00,2018,9,Monday,15,Part Three,WASHINGTON ST,42.28788933,-71.12658585,"(42.28788933, -71.12658585)",2011-02-20,2011-02-20,2011-02-20,2011-02-20,2011-02-20
I182070876,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C11,244,,2018-09-03 16:21:00,2018,9,Monday,16,Part Three,E COTTAGE ST,42.31866067,-71.05881776,"(42.31866067, -71.05881776)",2011-02-21,2011-02-21,2011-02-21,2011-02-21,2011-02-21
I182070875,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,116,,2018-09-03 16:55:00,2018,9,Monday,16,Part Two,BEACH ST,42.351084,-71.059395,"(42.35108400, -71.05939500)",2011-02-22,2011-02-22,2011-02-22,2011-02-22,2011-02-22
I182070875,2405,Disorderly Conduct,DISORDERLY CONDUCT,A1,116,,2018-09-03 16:55:00,2018,9,Monday,16,Part Two,BEACH ST,42.351084,-71.059395,"(42.35108400, -71.05939500)",2011-02-23,2011-02-23,2011-02-23,2011-02-23,2011-02-23
I182070874,617,Larceny,LARCENY THEFT FROM BUILDING,A1,102,,2018-09-03 16:00:00,2018,9,Monday,16,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)",2011-02-24,2011-02-24,2011-02-24,2011-02-24,2011-02-24
I182070873,3625,Other,DANGEROUS OR HAZARDOUS CONDITION,B2,327,,2018-09-03 15:38:00,2018,9,Monday,15,Part Three,WAYLAND ST,42.31368925,-71.0742708,"(42.31368925, -71.07427080)",2011-02-25,2011-02-25,2011-02-25,2011-02-25,2011-02-25
I182070873,3106,Property Related Damage,PROPERTY - ACCIDENTAL DAMAGE,B2,327,,2018-09-03 15:38:00,2018,9,Monday,15,Part Three,WAYLAND ST,42.31368925,-71.0742708,"(42.31368925, -71.07427080)",2011-02-26,2011-02-26,2011-02-26,2011-02-26,2011-02-26
I182070872,1402,Vandalism,VANDALISM,C6,205,,2018-08-31 17:00:00,2018,8,Friday,17,Part Two,A ST,42.34754258,-71.0506621,"(42.34754258, -71.05066210)",2011-02-27,2011-02-27,2011-02-27,2011-02-27,2011-02-27
I182070871,3501,Missing Person Reported,MISSING PERSON,B2,265,,2018-09-03 17:03:00,2018,9,Monday,17,Part Three,PERRIN ST,42.3218854,-71.07906279,"(42.32188540, -71.07906279)",2011-02-28,2011-02-28,2011-02-28,2011-02-28,2011-02-28
I182070870,3115,Investigate Person,INVESTIGATE PERSON,E18,493,,2018-09-03 15:51:00,2018,9,Monday,15,Part Three,LEXINGTON AVE,42.26255067,-71.11582205,"(42.26255067, -71.11582205)",2011-03-01,2011-03-01,2011-03-01,2011-03-01,2011-03-01
I182070868,616,Larceny,LARCENY THEFT OF BICYCLE,D14,790,,2018-09-03 06:15:00,2018,9,Monday,6,Part One,CHESTNUT HILL AVE,42.3353997,-71.15025675,"(42.33539970, -71.15025675)",2011-03-02,2011-03-02,2011-03-02,2011-03-02,2011-03-02
I182070866,3807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,, ,,2018-09-03 16:09:10,2018,9,Monday,16,Part Three,,42.28768807,-71.09386923,"(42.28768807, -71.09386923)",2011-03-03,2011-03-03,2011-03-03,2011-03-03,2011-03-03
I182070865,301,Robbery,ROBBERY - STREET,, ,,2018-09-03 15:54:00,2018,9,Monday,15,Part One,,42.31580852,-71.09829029,"(42.31580852, -71.09829029)",2011-03-04,2011-03-04,2011-03-04,2011-03-04,2011-03-04
I182070863,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,143,,2018-09-01 17:15:00,2018,9,Saturday,17,Part Two,RING RD,42.34813158,-71.08027002,"(42.34813158, -71.08027002)",2011-03-05,2011-03-05,2011-03-05,2011-03-05,2011-03-05
I182070862,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B2,603,,2018-09-03 15:29:00,2018,9,Monday,15,Part Three,TREMONT ST,42.33380683,-71.10377843,"(42.33380683, -71.10377843)",2011-03-06,2011-03-06,2011-03-06,2011-03-06,2011-03-06
I182070861,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,642,,2018-09-03 16:00:00,2018,9,Monday,16,Part Three,CENTRE ST,42.31322316,-71.11409925,"(42.31322316, -71.11409925)",2011-03-07,2011-03-07,2011-03-07,2011-03-07,2011-03-07
I182070860,3114,Investigate Property,INVESTIGATE PROPERTY,C11,403,,2018-09-03 15:58:00,2018,9,Monday,15,Part Three,CROFTLAND AVE,42.28107109,-71.06925083,"(42.28107109, -71.06925083)",2011-03-08,2011-03-08,2011-03-08,2011-03-08,2011-03-08
I182070859,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,305,,2018-09-03 15:46:00,2018,9,Monday,15,Part Three,KENSINGTON ST,42.3206268,-71.09108856,"(42.32062680, -71.09108856)",2011-03-09,2011-03-09,2011-03-09,2011-03-09,2011-03-09
I182070858,2629,Harassment,HARASSMENT,E18,547,,2018-09-03 14:00:00,2018,9,Monday,14,Part Two,DEFOREST ST,42.2675628,-71.1297447,"(42.26756280, -71.12974470)",2011-03-10,2011-03-10,2011-03-10,2011-03-10,2011-03-10
I182070857,3201,Property Lost,PROPERTY - LOST,D4,145,,2018-08-22 14:00:00,2018,8,Wednesday,14,Part Three,HUNTINGTON AVE,42.34481182,-71.08234324,"(42.34481182, -71.08234324)",2011-03-11,2011-03-11,2011-03-11,2011-03-11,2011-03-11
I182070856,613,Larceny,LARCENY SHOPLIFTING,D4,138,,2018-09-03 14:31:00,2018,9,Monday,14,Part One,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)",2011-03-12,2011-03-12,2011-03-12,2011-03-12,2011-03-12
I182070855,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,288,,2018-09-03 15:14:00,2018,9,Monday,15,Part Three,ROXBURY ST,42.32960870000001,-71.08462109,"(42.32960870, -71.08462109)",2011-03-13,2011-03-13,2011-03-13,2011-03-13,2011-03-13
I182070854,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,257,,2018-09-03 15:27:00,2018,9,Monday,15,Part Two,EVERETT AVE,42.31526714,-71.0630687,"(42.31526714, -71.06306870)",2011-03-14,2011-03-14,2011-03-14,2011-03-14,2011-03-14
I182070852,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E5,706,,2018-09-02 12:30:00,2018,9,Sunday,12,Part Two,VERSHIRE ST,42.27169454,-71.14650799,"(42.27169454, -71.14650799)",2011-03-15,2011-03-15,2011-03-15,2011-03-15,2011-03-15
I182070851,3115,Investigate Person,INVESTIGATE PERSON,E18,957,,2018-09-03 14:39:00,2018,9,Monday,14,Part Three,CLIFFMONT ST,42.27668221,-71.12065268,"(42.27668221, -71.12065268)",2011-03-16,2011-03-16,2011-03-16,2011-03-16,2011-03-16
I182070850,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,498,,2018-09-03 14:48:00,2018,9,Monday,14,Part Three,CLARE AVE,42.27360053,-71.11897042,"(42.27360053, -71.11897042)",2011-03-17,2011-03-17,2011-03-17,2011-03-17,2011-03-17
I182070849,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C6,177,,2018-09-03 11:30:00,2018,9,Monday,11,Part Two,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)",2011-03-18,2011-03-18,2011-03-18,2011-03-18,2011-03-18
I182070847,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,469,,2018-09-03 13:07:00,2018,9,Monday,13,Part Two,TENNIS RD,42.27615691,-71.09550303,"(42.27615691, -71.09550303)",2011-03-19,2011-03-19,2011-03-19,2011-03-19,2011-03-19
I182070846,613,Larceny,LARCENY SHOPLIFTING,C11,381,,2018-09-03 14:07:00,2018,9,Monday,14,Part One,GALLIVAN BLVD,42.28512354,-71.04405667,"(42.28512354, -71.04405667)",2011-03-20,2011-03-20,2011-03-20,2011-03-20,2011-03-20
I182070844,724,Auto Theft,AUTO THEFT,D4,154,,2018-09-03 15:01:00,2018,9,Monday,15,Part One,TREMONT ST,42.3411289,-71.07692951,"(42.34112890, -71.07692951)",2011-03-21,2011-03-21,2011-03-21,2011-03-21,2011-03-21
I182070843,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,84,,2018-09-03 14:23:00,2018,9,Monday,14,Part Three,HANOVER ST,42.36339154,-71.05488123,"(42.36339154, -71.05488123)",2011-03-22,2011-03-22,2011-03-22,2011-03-22,2011-03-22
I182070842,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,776,,2018-09-03 13:32:00,2018,9,Monday,13,Part Three,PRISCILLA RD,42.34488259,-71.15216614,"(42.34488259, -71.15216614)",2011-03-23,2011-03-23,2011-03-23,2011-03-23,2011-03-23
I182070841,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D14,777,,2018-08-20 12:00:00,2018,8,Monday,12,Part Two,SHEPARD ST,42.34600153,-71.15112006,"(42.34600153, -71.15112006)",2011-03-24,2011-03-24,2011-03-24,2011-03-24,2011-03-24
I182070840,2647,Other,THREATS TO DO BODILY HARM,A1,63,,2018-09-03 14:46:00,2018,9,Monday,14,Part Two,MARTHA RD,42.36580175,-71.06538257,"(42.36580175, -71.06538257)",2011-03-25,2011-03-25,2011-03-25,2011-03-25,2011-03-25
I182070839,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,, ,,2018-09-03 14:21:00,2018,9,Monday,14,Part Three,,42.34320836,-71.0785066,"(42.34320836, -71.07850660)",2011-03-26,2011-03-26,2011-03-26,2011-03-26,2011-03-26
I182070838,613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-09-03 14:00:00,2018,9,Monday,14,Part One,HUNTINGTON AVE,42.347972399999996,-71.07849582,"(42.34797240, -71.07849582)",2011-03-27,2011-03-27,2011-03-27,2011-03-27,2011-03-27
I182070837,3115,Investigate Person,INVESTIGATE PERSON,B3,449,,2018-09-03 13:56:00,2018,9,Monday,13,Part Three,WHITFIELD ST,42.2922213,-71.07467073,"(42.29222130, -71.07467073)",2011-03-28,2011-03-28,2011-03-28,2011-03-28,2011-03-28
I182070837,3301,Verbal Disputes,VERBAL DISPUTE,B3,449,,2018-09-03 13:56:00,2018,9,Monday,13,Part Three,WHITFIELD ST,42.2922213,-71.07467073,"(42.29222130, -71.07467073)",2011-03-29,2011-03-29,2011-03-29,2011-03-29,2011-03-29
I182070836,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,, ,,2018-09-03 14:02:00,2018,9,Monday,14,Part Three,,42.33892088,-71.10725211,"(42.33892088, -71.10725211)",2011-03-30,2011-03-30,2011-03-30,2011-03-30,2011-03-30
I182070835,3201,Property Lost,PROPERTY - LOST,A1,77,,2018-09-03 14:29:00,2018,9,Monday,14,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)",2011-03-31,2011-03-31,2011-03-31,2011-03-31,2011-03-31
I182070834,617,Larceny,LARCENY THEFT FROM BUILDING,D14,794,,2018-08-23 10:41:00,2018,8,Thursday,10,Part One,RADCLIFFE RD,42.35085449,-71.13408859,"(42.35085449, -71.13408859)",2011-04-01,2011-04-01,2011-04-01,2011-04-01,2011-04-01
I182070833,2905,Violations,VAL - OPERATING WITHOUT LICENSE,D14,780,,2018-09-03 14:06:00,2018,9,Monday,14,Part Two,FANEUIL ST,42.35479369,-71.14995785,"(42.35479369, -71.14995785)",2011-04-02,2011-04-02,2011-04-02,2011-04-02,2011-04-02
I182070833,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY Â DAMAGE,D14,780,,2018-09-03 14:06:00,2018,9,Monday,14,Part Three,FANEUIL ST,42.35479369,-71.14995785,"(42.35479369, -71.14995785)",2011-04-03,2011-04-03,2011-04-03,2011-04-03,2011-04-03
I182070832,3410,Towed,TOWED MOTOR VEHICLE,C6,229,,2018-09-03 13:18:00,2018,9,Monday,13,Part Three,E SIXTH ST,42.33298734,-71.04282382,"(42.33298734, -71.04282382)",2011-04-04,2011-04-04,2011-04-04,2011-04-04,2011-04-04
I182070831,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,619,,2018-09-03 14:17:00,2018,9,Monday,14,Part Two,SAINT STEPHEN ST,42.34272627,-71.08646352,"(42.34272627, -71.08646352)",2011-04-05,2011-04-05,2011-04-05,2011-04-05,2011-04-05
I182070830,2647,Other,THREATS TO DO BODILY HARM,B2,294,,2018-09-03 13:25:00,2018,9,Monday,13,Part Two,AKRON ST,42.32579408,-71.08563758,"(42.32579408, -71.08563758)",2011-04-06,2011-04-06,2011-04-06,2011-04-06,2011-04-06
I182070829,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,B2,325,,2018-09-03 13:45:00,2018,9,Monday,13,Part Two,WOODCLIFF ST,42.31580934,-71.07618683,"(42.31580934, -71.07618683)",2011-04-07,2011-04-07,2011-04-07,2011-04-07,2011-04-07
